2024-09-14 21:52:45,944 - __main__ - INFO - Starting extraction process...
2024-09-14 21:52:46,093 - root - INFO - Connected to database successfully
2024-09-14 21:52:46,093 - extract - INFO - Extracted columns from CSV file C:\Users\Legion\Desktop\official_data\1900_2021_DISASTERS.csv successfully
2024-09-14 21:52:46,110 - extract - INFO - Created staging table staging_disasters successfully
2024-09-14 21:52:46,184 - extract - INFO - Data loaded into staging table staging_disasters successfully
2024-09-14 21:52:46,193 - __main__ - INFO - Extraction completed successfully.
2024-09-14 21:52:46,193 - __main__ - INFO - Starting transformation process...
2024-09-14 21:52:46,226 - transform - INFO - Connected to database successfully
2024-09-14 21:52:46,568 - transform - INFO - Data fetched successfully for query:  --sql
                SELECT * FROM staging_disasters 
                WHERE TO_CHAR(extraction_time, 'YYYYMMDD') = '20240914';
            
2024-09-14 21:52:46,568 - transform - INFO - Column names cleaned
2024-09-14 21:52:46,593 - transform - WARNING - Invalid date encountered: Year=1903, Month=None, Day=None
2024-09-14 21:52:46,593 - transform - WARNING - Invalid date encountered: Year=1904, Month=11, Day=None
2024-09-14 21:52:46,600 - transform - WARNING - Invalid date encountered: Year=1906, Month=4, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1907, Month=None, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1909, Month=12, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1909, Month=None, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1909, Month=None, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1910, Month=None, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1910, Month=None, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1910, Month=None, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1910, Month=None, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1910, Month=None, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1911, Month=4, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1911, Month=None, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1912, Month=8, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1915, Month=None, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1917, Month=None, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1918, Month=None, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1918, Month=1, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1919, Month=1, Day=None
2024-09-14 21:52:46,601 - transform - WARNING - Invalid date encountered: Year=1919, Month=None, Day=None
2024-09-14 21:52:46,609 - transform - WARNING - Invalid date encountered: Year=1919, Month=5, Day=None
2024-09-14 21:52:46,609 - transform - WARNING - Invalid date encountered: Year=1920, Month=None, Day=None
2024-09-14 21:52:46,609 - transform - WARNING - Invalid date encountered: Year=1920, Month=1, Day=None
2024-09-14 21:52:46,609 - transform - WARNING - Invalid date encountered: Year=1920, Month=None, Day=None
2024-09-14 21:52:46,609 - transform - WARNING - Invalid date encountered: Year=1920, Month=8, Day=None
2024-09-14 21:52:46,609 - transform - WARNING - Invalid date encountered: Year=1920, Month=None, Day=None
2024-09-14 21:52:46,609 - transform - WARNING - Invalid date encountered: Year=1920, Month=None, Day=None
