2024-09-14 00:12:00,339 - INFO - Connected to database successfully
2024-09-14 00:12:00,739 - INFO - Column names cleaned
2024-09-14 00:12:00,739 - INFO - Data fetched successfully for query: SELECT * FROM staging_disasters;
2024-09-14 00:12:00,764 - WARNING - Invalid date encountered: Year=1903, Month=None, Day=None
2024-09-14 00:12:00,764 - WARNING - Invalid date encountered: Year=1904, Month=11, Day=None
2024-09-14 00:12:00,764 - WARNING - Invalid date encountered: Year=1906, Month=4, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1907, Month=None, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1909, Month=12, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1909, Month=None, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1909, Month=None, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1910, Month=None, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1910, Month=None, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1910, Month=None, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1910, Month=None, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1910, Month=None, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1911, Month=4, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1911, Month=None, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1912, Month=8, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1915, Month=None, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1917, Month=None, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1918, Month=None, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1918, Month=1, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1919, Month=1, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1919, Month=None, Day=None
2024-09-14 00:12:00,773 - WARNING - Invalid date encountered: Year=1919, Month=5, Day=None
2024-09-14 00:12:00,780 - WARNING - Invalid date encountered: Year=1920, Month=None, Day=None
2024-09-14 00:12:00,780 - WARNING - Invalid date encountered: Year=1920, Month=1, Day=None
2024-09-14 00:12:00,781 - WARNING - Invalid date encountered: Year=1920, Month=None, Day=None
2024-09-14 00:12:00,781 - WARNING - Invalid date encountered: Year=1920, Month=8, Day=None
2024-09-14 00:12:00,781 - WARNING - Invalid date encountered: Year=1920, Month=None, Day=None
2024-09-14 00:12:00,781 - WARNING - Invalid date encountered: Year=1920, Month=None, Day=None
2024-09-14 00:12:00,781 - WARNING - Invalid date encountered: Year=1921, Month=1, Day=None
2024-09-14 00:12:00,781 - WARNING - Invalid date encountered: Year=1922, Month=1, Day=None
2024-09-14 00:12:00,781 - WARNING - Invalid date encountered: Year=1923, Month=1, Day=None
2024-09-14 00:12:00,781 - WARNING - Invalid date encountered: Year=1924, Month=None, Day=None
2024-09-14 00:12:00,781 - WARNING - Invalid date encountered: Year=1925, Month=12, Day=None
2024-09-14 00:12:00,781 - WARNING - Invalid date encountered: Year=1926, Month=None, Day=None
2024-09-14 00:12:00,781 - WARNING - Invalid date encountered: Year=1926, Month=6, Day=None
2024-09-14 00:12:00,781 - WARNING - Invalid date encountered: Year=1926, Month=None, Day=None
2024-09-14 00:12:00,790 - WARNING - Invalid date encountered: Year=1928, Month=None, Day=None
